train tokens: 227,150,260  val tokens: 110,062
  step  4800 | loss 4.8483 | lr 5.66e-04
  step  4850 | loss 4.9151 | lr 5.65e-04
  step  4900 | loss 4.8494 | lr 5.64e-04
  step  4950 | loss 4.8456 | lr 5.63e-04
step  5000 | train_loss 4.8554 | val_loss 4.8248 | val_ppl 124.56 | lr 5.63e-04 | tok/s 17041
  step  5000 | loss 4.8301 | lr 5.63e-04
  step  5050 | loss 4.9659 | lr 5.62e-04
  step  5100 | loss 4.7281 | lr 5.61e-04
  step  5150 | loss 4.7742 | lr 5.60e-04
  step  5200 | loss 4.8139 | lr 5.59e-04
  step  5250 | loss 4.7239 | lr 5.59e-04
  step  5300 | loss 4.9038 | lr 5.58e-04
  step  5350 | loss 4.7973 | lr 5.57e-04
  step  5400 | loss 4.8034 | lr 5.56e-04
  step  5450 | loss 4.8256 | lr 5.55e-04
step  5500 | train_loss 4.8625 | val_loss 4.7604 | val_ppl 116.80 | lr 5.54e-04 | tok/s 17029
  step  5500 | loss 4.8879 | lr 5.54e-04
  step  5550 | loss 4.7072 | lr 5.54e-04
  step  5600 | loss 4.8899 | lr 5.53e-04
  step  5650 | loss 4.7901 | lr 5.52e-04
  step  5700 | loss 4.8620 | lr 5.51e-04
  step  5750 | loss 4.9015 | lr 5.50e-04
  step  5800 | loss 4.8891 | lr 5.49e-04
  step  5850 | loss 4.6918 | lr 5.48e-04
  step  5900 | loss 4.8770 | lr 5.47e-04
  step  5950 | loss 4.8008 | lr 5.46e-04
step  6000 | train_loss 4.7912 | val_loss 4.7335 | val_ppl 113.69 | lr 5.46e-04 | tok/s 17027
  step  6000 | loss 4.7869 | lr 5.46e-04
checkpoint saved: /home/sanyam-0605/Desktop/sanyam_projects/rumik assignment/out/ckpt_6000.npz
  step  6050 | loss 4.7771 | lr 5.45e-04
  step  6100 | loss 4.8275 | lr 5.44e-04
  step  6150 | loss 4.8415 | lr 5.43e-04
  step  6200 | loss 4.9128 | lr 5.42e-04
  step  6250 | loss 4.6453 | lr 5.41e-04
  step  6300 | loss 4.7100 | lr 5.40e-04
  step  6350 | loss 4.7180 | lr 5.39e-04
  step  6400 | loss 4.8194 | lr 5.38e-04
  step  6450 | loss 4.7798 | lr 5.37e-04
step  6500 | train_loss 4.7789 | val_loss 4.7240 | val_ppl 112.61 | lr 5.36e-04 | tok/s 16990
  step  6500 | loss 4.6801 | lr 5.36e-04
  step  6550 | loss 4.7145 | lr 5.35e-04
  step  6600 | loss 4.7970 | lr 5.34e-04
  step  6650 | loss 4.8659 | lr 5.33e-04
  step  6700 | loss 4.7023 | lr 5.32e-04
  step  6750 | loss 4.6836 | lr 5.31e-04
  step  6800 | loss 4.5323 | lr 5.30e-04
  step  6850 | loss 4.6617 | lr 5.29e-04
  step  6900 | loss 4.8191 | lr 5.28e-04
  step  6950 | loss 4.7500 | lr 5.27e-04
step  7000 | train_loss 4.7113 | val_loss 4.6972 | val_ppl 109.64 | lr 5.26e-04 | tok/s 17010
  step  7000 | loss 4.4983 | lr 5.26e-04
  step  7050 | loss 4.6642 | lr 5.25e-04
  step  7100 | loss 4.7558 | lr 5.24e-04
  step  7150 | loss 4.8729 | lr 5.23e-04
  step  7200 | loss 4.7727 | lr 5.21e-04
  step  7250 | loss 4.6667 | lr 5.20e-04
  step  7300 | loss 4.5691 | lr 5.19e-04
  step  7350 | loss 4.6432 | lr 5.18e-04
  step  7400 | loss 4.6973 | lr 5.17e-04
  step  7450 | loss 4.7295 | lr 5.16e-04
step  7500 | train_loss 4.6950 | val_loss 4.6439 | val_ppl 103.94 | lr 5.15e-04 | tok/s 17007
  step  7500 | loss 4.6882 | lr 5.15e-04
  step  7550 | loss 4.8243 | lr 5.14e-04
  step  7600 | loss 4.5132 | lr 5.13e-04
  step  7650 | loss 4.7857 | lr 5.11e-04
  step  7700 | loss 4.5606 | lr 5.10e-04
  step  7750 | loss 4.6388 | lr 5.09e-04
  step  7800 | loss 4.5233 | lr 5.08e-04
  step  7850 | loss 4.6637 | lr 5.07e-04
  step  7900 | loss 4.7171 | lr 5.06e-04
  step  7950 | loss 4.7037 | lr 5.05e-04
step  8000 | train_loss 4.6762 | val_loss 4.6500 | val_ppl 104.59 | lr 5.03e-04 | tok/s 17006
