train tokens: 227,150,260  val tokens: 110,062
  step  2300 | loss 5.1952 | lr 3.11e-04
  step  2325 | loss 4.9916 | lr 3.06e-04
  step  2350 | loss 4.9018 | lr 3.01e-04
  step  2375 | loss 5.2116 | lr 2.96e-04
step  2400 | train_loss 4.9877 | val_loss 4.9741 | val_ppl 144.62 | lr 2.91e-04 | tok/s 1475
  step  2400 | loss 5.0074 | lr 2.91e-04
  step  2425 | loss 5.1058 | lr 2.86e-04
  step  2450 | loss 5.0583 | lr 2.81e-04
  step  2475 | loss 5.0730 | lr 2.76e-04
  step  2500 | loss 5.1266 | lr 2.71e-04
checkpoint saved: out/run2_gpt2small/ckpt_2500.npz
  step  2525 | loss 4.9944 | lr 2.66e-04
  step  2550 | loss 4.8822 | lr 2.61e-04
  step  2575 | loss 4.8528 | lr 2.56e-04
step  2600 | train_loss 4.9887 | val_loss 4.9734 | val_ppl 144.51 | lr 2.51e-04 | tok/s 1473
  step  2600 | loss 4.8458 | lr 2.51e-04
  step  2625 | loss 4.8414 | lr 2.46e-04
  step  2650 | loss 4.9236 | lr 2.42e-04
  step  2675 | loss 5.0442 | lr 2.37e-04
  step  2700 | loss 5.0093 | lr 2.32e-04
  step  2725 | loss 4.9713 | lr 2.27e-04
  step  2750 | loss 4.8538 | lr 2.23e-04
  step  2775 | loss 4.8378 | lr 2.18e-04
step  2800 | train_loss 4.9507 | val_loss 4.9121 | val_ppl 135.93 | lr 2.14e-04 | tok/s 1475
  step  2800 | loss 4.9745 | lr 2.14e-04
  step  2825 | loss 4.8737 | lr 2.09e-04
  step  2850 | loss 4.7465 | lr 2.05e-04
  step  2875 | loss 4.8225 | lr 2.00e-04
  step  2900 | loss 4.7416 | lr 1.96e-04
  step  2925 | loss 4.8225 | lr 1.91e-04
  step  2950 | loss 4.8367 | lr 1.87e-04
  step  2975 | loss 4.7899 | lr 1.83e-04
step  3000 | train_loss 4.8696 | val_loss 4.7636 | val_ppl 117.17 | lr 1.79e-04 | tok/s 1477
  step  3000 | loss 4.8577 | lr 1.79e-04
checkpoint saved: out/run2_gpt2small/ckpt_3000.npz
  step  3025 | loss 4.8527 | lr 1.75e-04
  step  3050 | loss 4.9136 | lr 1.70e-04
  step  3075 | loss 4.7464 | lr 1.66e-04
  step  3100 | loss 4.7376 | lr 1.62e-04
  step  3125 | loss 4.9152 | lr 1.59e-04
  step  3150 | loss 4.9149 | lr 1.55e-04
  step  3175 | loss 4.7612 | lr 1.51e-04
step  3200 | train_loss 4.8508 | val_loss 4.7472 | val_ppl 115.26 | lr 1.47e-04 | tok/s 1472
  step  3200 | loss 4.9499 | lr 1.47e-04
  step  3225 | loss 4.9679 | lr 1.43e-04
  step  3250 | loss 4.8481 | lr 1.40e-04
  step  3275 | loss 4.8331 | lr 1.36e-04
  step  3300 | loss 4.6037 | lr 1.33e-04
  step  3325 | loss 4.5095 | lr 1.29e-04
  step  3350 | loss 4.7516 | lr 1.26e-04
  step  3375 | loss 4.8503 | lr 1.23e-04
step  3400 | train_loss 4.8041 | val_loss 4.7097 | val_ppl 111.01 | lr 1.20e-04 | tok/s 1475
  step  3400 | loss 4.6688 | lr 1.20e-04
  step  3425 | loss 4.9060 | lr 1.16e-04
  step  3450 | loss 4.6521 | lr 1.13e-04
  step  3475 | loss 4.9096 | lr 1.10e-04
  step  3500 | loss 4.7229 | lr 1.08e-04
checkpoint saved: out/run2_gpt2small/ckpt_3500.npz
  step  3525 | loss 4.9727 | lr 1.05e-04
  step  3550 | loss 4.6963 | lr 1.02e-04
  step  3575 | loss 4.6388 | lr 9.93e-05
step  3600 | train_loss 4.7232 | val_loss 4.6683 | val_ppl 106.52 | lr 9.68e-05 | tok/s 1473
  step  3600 | loss 4.5705 | lr 9.68e-05
  step  3625 | loss 4.6769 | lr 9.43e-05
  step  3650 | loss 4.8087 | lr 9.18e-05
  step  3675 | loss 4.7609 | lr 8.95e-05
  step  3700 | loss 4.5655 | lr 8.73e-05
  step  3725 | loss 4.8254 | lr 8.51e-05
  step  3750 | loss 4.7957 | lr 8.30e-05
  step  3775 | loss 4.6881 | lr 8.10e-05
step  3800 | train_loss 4.7426 | val_loss 4.7045 | val_ppl 110.44 | lr 7.91e-05 | tok/s 1475
  step  3800 | loss 4.7670 | lr 7.91e-05
  step  3825 | loss 4.6698 | lr 7.73e-05
  step  3850 | loss 4.7710 | lr 7.56e-05
  step  3875 | loss 4.7059 | lr 7.39e-05
  step  3900 | loss 4.7339 | lr 7.24e-05
  step  3925 | loss 4.8740 | lr 7.09e-05
  step  3950 | loss 4.7880 | lr 6.95e-05
  step  3975 | loss 4.9380 | lr 6.83e-05
step  4000 | train_loss 4.7059 | val_loss 4.6386 | val_ppl 103.40 | lr 6.71e-05 | tok/s 1477
  step  4000 | loss 5.0520 | lr 6.71e-05
checkpoint saved: out/run2_gpt2small/ckpt_4000.npz
  step  4025 | loss 4.6926 | lr 6.60e-05
  step  4050 | loss 4.6903 | lr 6.50e-05
  step  4075 | loss 4.7684 | lr 6.40e-05
  step  4100 | loss 4.6239 | lr 6.32e-05
  step  4125 | loss 4.6640 | lr 6.25e-05
  step  4150 | loss 4.6665 | lr 6.19e-05
  step  4175 | loss 4.7691 | lr 6.13e-05
step  4200 | train_loss 4.7109 | val_loss 4.6283 | val_ppl 102.34 | lr 6.09e-05 | tok/s 1472
  step  4200 | loss 4.5697 | lr 6.09e-05
  step  4225 | loss 4.6198 | lr 6.05e-05
  step  4250 | loss 4.7942 | lr 6.02e-05
  step  4275 | loss 4.7374 | lr 6.01e-05
  step  4300 | loss 4.7097 | lr 6.00e-05
step  4307 | train_loss 4.6440 | val_loss 4.6174 | val_ppl 101.23 | lr 6.00e-05 | tok/s 2018
checkpoint saved: out/run2_gpt2small/ckpt_final.npz
training complete
